face_id,x,y,z,closeness,betweenness
face_257,33167.243333,-1138.924042,8530.516379,0.028464,0.010346
face_258,33267.243333,-1238.924042,8530.516379,0.027619,0.009957
face_259,33367.243333,-1338.924042,8530.516379,0.026804,0.008741
face_260,33467.243333,-1438.924042,8530.516379,0.026017,0.006861
face_261,33567.243333,-1538.924042,8530.516379,0.025258,0.004842
face_262,33667.243333,-1638.924042,8530.516379,0.024526,0.002997
face_263,33767.243333,-1738.924042,8530.516379,0.023819,0.001456
face_264,33852.090311,-1638.924042,8530.516379,0.023817,0.001268
face_265,34579.737216,-838.924042,8530.516379,0.026638,0.001378
face_266,34667.243333,-938.924042,8530.516379,0.026639,0.002002
face_267,34767.243333,-838.924042,8530.516379,0.026898,0.00309
face_268,34829.062321,-738.924042,8530.516379,0.026894,0.001403
face_269,34967.243333,-462.960434,8530.516379,0.027202,0.006345
face_270,35067.243333,-538.924042,8530.516379,0.02728,0.083022
face_271,35165.446111,-445.216319,8530.516379,0.02727,0.045769
face_272,35067.243333,-338.924042,8530.516379,0.028081,0.025034
face_273,34967.243333,-244.480898,8530.516379,0.028852,0.020992
face_274,34866.161193,-127.829144,8530.516379,0.029094,0.036241
face_275,34767.243333,-38.924042,8530.516379,0.029336,0.0811
face_276,34667.243333,61.075958,8530.516379,0.029381,0.143253
face_277,34567.243333,-38.924042,8530.516379,0.029249,0.083462
face_278,34465.811143,-127.829144,8530.516379,0.029081,0.017487
face_279,32567.243333,-244.480896,8530.516379,0.035613,0.246962
face_280,32467.243333,-338.924042,8530.516379,0.035525,0.103221
face_281,32367.243333,-438.924042,8530.516379,0.035347,0.137988
face_282,32467.243333,-538.924042,8530.516379,0.034172,0.011134
face_283,32567.243333,-638.924042,8530.516379,0.033049,0.010015
face_284,32667.243333,-738.924042,8530.516379,0.031978,0.007399
face_285,32767.243333,-838.924042,8530.516379,0.030956,0.004125
face_286,32867.243333,-938.924042,8530.516379,0.029979,0.001878
face_287,32928.909299,-838.924042,8530.516379,0.029965,0.000947
face_288,32993.909295,-1038.924042,8530.516379,0.028514,0.003183
face_289,33067.243333,-1138.924042,8530.516379,0.028565,0.009961
face_290,33167.243333,-1238.924042,8530.516379,0.027728,0.00863
face_291,33267.243333,-1338.924042,8530.516379,0.026919,0.008171
face_292,33367.243333,-1438.924042,8530.516379,0.026137,0.006864
face_293,33467.243333,-1538.924042,8530.516379,0.025382,0.005085
face_294,33567.243333,-1638.924042,8530.516379,0.024653,0.003296
face_295,33667.243333,-1738.924042,8530.516379,0.023949,0.001679
face_296,33767.243333,-1811.217489,8530.516379,0.02327,0.000278
face_297,33852.090311,-1738.924042,8530.516379,0.023273,0.000725
face_298,34579.737216,-938.924042,8530.516379,0.025952,0.000791
face_299,34667.243333,-1008.560412,8530.516379,0.02595,0.000326
face_300,34767.243333,-938.924042,8530.516379,0.026198,0.001636
face_301,34829.062321,-838.924042,8530.516379,0.026197,0.001196
face_302,34894.062318,-462.960434,8530.516379,0.026491,0.000783
face_303,34967.243333,-538.924042,8530.516379,0.026576,0.008505
face_304,35067.243333,-638.924042,8530.516379,0.026644,0.059262
face_305,35167.243333,-538.924042,8530.516379,0.026641,0.039356
face_306,35267.243333,-462.960434,8530.516379,0.026607,0.019071
face_307,35267.243333,-397.960434,8530.516379,0.026558,0.00408
face_308,35167.243333,-338.924042,8530.516379,0.027404,0.010554
face_309,35067.243333,-244.480897,8530.516379,0.028173,0.013189
face_310,34967.243333,-129.480896,8530.516379,0.028392,0.016687
face_311,34867.243333,-38.924042,8530.516379,0.028635,0.045155
face_312,34767.243333,61.075958,8530.516379,0.028845,0.062328
face_313,34667.243333,161.075958,8530.516379,0.028878,0.100943
face_314,34567.243333,61.075958,8530.516379,0.028761,0.096003
face_315,34459.508582,-42.986265,8530.516379,0.028622,0.033075
face_316,34367.243333,-129.480896,8530.516379,0.028274,0.007207
face_317,32467.243333,-244.480896,8530.516379,0.035673,0.254293
face_318,32367.243333,-338.924042,8530.516379,0.035573,0.097272
face_319,32267.243333,-438.924042,8530.516379,0.035384,0.139896
face_320,32367.243333,-538.924042,8530.516379,0.034217,0.011218
face_321,32467.243333,-638.924042,8530.516379,0.0331,0.009927
face_322,32567.243333,-738.924042,8530.516379,0.032035,0.007964
face_323,32667.243333,-838.924042,8530.516379,0.031017,0.00499
face_324,32767.243333,-938.924042,8530.516379,0.030045,0.002315
face_325,32867.243333,-1008.560412,8530.516379,0.029115,0.000473
face_326,32928.909299,-938.924042,8530.516379,0.029111,0.000596
face_327,32993.909295,-1138.924042,8530.516379,0.027782,0.003082
face_328,33067.243333,-1238.924042,8530.516379,0.027823,0.008088
face_329,33167.243333,-1338.924042,8530.516379,0.027021,0.007088
face_330,33267.243333,-1438.924042,8530.516379,0.026246,0.006446
face_331,33367.243333,-1538.924042,8530.516379,0.025496,0.005061
face_332,33467.243333,-1638.924042,8530.516379,0.024771,0.003398
face_333,33567.243333,-1738.924042,8530.516379,0.024071,0.001797
face_334,33667.243333,-1811.217489,8530.516379,0.023394,0.000345
face_335,33852.090311,-1811.217489,8530.516379,0.022748,2e-06
face_336,34579.737216,-1008.560412,8530.516379,0.025297,1e-06
face_337,34767.243333,-1008.560412,8530.516379,0.025531,0.000271
face_338,34829.062321,-938.924042,8530.516379,0.025533,0.000724
face_339,34894.062318,-538.924042,8530.516379,0.025897,0.001496
face_340,34967.243333,-638.924042,8530.516379,0.025972,0.009532
face_341,35067.243333,-738.924042,8530.516379,0.026031,0.044045
face_342,35167.243333,-638.924042,8530.516379,0.026034,0.034539
face_343,35267.243333,-538.924042,8530.516379,0.026008,0.022263
face_344,35367.243333,-462.960434,8530.516379,0.025966,0.010157
face_345,35367.243333,-397.960434,8530.516379,0.02588,0.003005
face_346,35267.243333,-338.924042,8530.516379,0.026685,0.004878
face_347,35167.243333,-244.480897,8530.516379,0.027492,0.008432
face_348,35067.243333,-129.480896,8530.516379,0.027712,0.008438
face_349,34967.243333,-38.924042,8530.516379,0.027954,0.02567
face_350,34867.243333,61.075958,8530.516379,0.028167,0.046486
face_351,34767.243333,161.075958,8530.516379,0.02836,0.047331
face_352,34667.243333,261.075958,8530.516379,0.028377,0.068824
face_353,34567.243333,161.075958,8530.516379,0.028279,0.101985
face_354,34514.637617,61.075958,8530.516379,0.028154,0.042492
face_355,34449.637618,61.075958,8530.516379,0.027834,0.003799
face_356,34367.243333,-38.924042,8530.516379,0.02784,0.009169
face_357,34267.243333,-129.480896,8530.516379,0.027508,0.004691
face_358,32367.243333,-244.480896,8530.516379,0.035721,0.263321
face_359,32267.243333,-338.924042,8530.516379,0.035611,0.090254
face_360,32167.243333,-438.924042,8530.516379,0.035248,0.142568
face_361,32267.243333,-538.924042,8530.516379,0.034251,0.011823
face_362,32367.243333,-638.924042,8530.516379,0.033142,0.009675
face_363,32467.243333,-738.924042,8530.516379,0.032083,0.008061
face_364,32567.243333,-838.924042,8530.516379,0.031071,0.005501
face_365,32667.243333,-938.924042,8530.516379,0.030103,0.002783
face_366,32767.243333,-1008.560412,8530.516379,0.029177,0.000645
face_367,32928.909299,-1008.560411,8530.516379,0.028296,2e-06
face_368,32993.909295,-1238.924042,8530.516379,0.02708,0.002904
face_369,33067.243333,-1338.924042,8530.516379,0.027112,0.006512
face_370,33167.243333,-1438.924042,8530.516379,0.026344,0.005651
face_371,33267.243333,-1538.924042,8530.516379,0.0256,0.004794
face_372,33367.243333,-1638.924042,8530.516379,0.02488,0.003368
face_373,33467.243333,-1738.924042,8530.516379,0.024183,0.001824
